game_id,better,worse,drawn
5553096,Sentry-,Militia-Silver,0
5558534,Sentry-Chapel,Silver-Chapel,0
5656537,Market-Chapel,Poacher-Chapel,0
5579553,Sentry-,Poacher-Silver,0
5788864,Laboratory-Chapel,Witch-Chapel,1
5844082,Sentry-,Moneylender-Silver,0
5924162,Silver-Chapel,Remodel-Silver,0
5982614,Sentry-,Moneylender-Silver,0
6033410,Sentry-,Militia-Silver,0
6033410,Sentry-,Poacher-Silver,0
6065802,Sentry-Chapel,Silver-Chapel,0
6087460,Sentry-,Remodel-Silver,0
6170038,Poacher-Silver,Remodel-Silver,1
6170038,Sentry-,Remodel-Silver,0
6193342,Sentry-,Militia-Silver,0
6227420,Sentry-,Militia-Silver,0
